vert1_id,vert2_id,message_text,SKI,MKI,DKI,SKC,MKC,DKC,week,is_reply,participatory_role
A,ins,"After searching for scholarly articles that explore community, the results produced numerous papers and books that examine community around one's identity and personal needs.Merriam-Webster defines community as ""a unified body of individuals.""I would define community as a group of people that share a mutual identity, whether it be race, gender, religion, or sexual orientation. Furthermore, I believe a community is comprised of people who strongly associate themselves with that group.For me, an ""online community"" is one where the definitions above are present but, perhaps even more important, people are able to develop a true social presence. In other words, members of the group must be able to develop and convey a true sense of themselves that includes their personality, passions, interests, and emotions. In order to do this, members must engage clearly and frequently, as well as communicate effectively. I really like the book's definition of online communities as a virtual space where people ""come together in meaningful ways"" and with a sense of ""purpose."" Additionally, it is important for whichever platform is being utilized to have a clear structure. This is my vision of a successful online community. It's when people bring all parts of themselves to an online space, using a variety of technology, and are able to use the structure of the virtual space to help other members gain a perspective (and hopefully an accurate one) of who they are. Community members learn about one another, develop common interests, and eventually trust each other enough to rely on members and look to each other to learn more about others and themselves. With our culture being heavily dependent on body language to help us decipher messages and a need for face-to-face interactions, I believe developing a strong, viable online community poses great difficulty. I come from a background where online communities feel a little unnatural, so I am very excited to stretch myself outside of my comfort zone and I look forward to developing peer relationships in a virtual space. Cheers![Photo courtesy of Google search.]",1,2,2,0,0,0,Week 02,1,Influencer
B,A,"I love the community word cloud.  I think all those words together really bring the idea of community to life.  I agree with several pieces from your post.  In order for a Community to be effective there must be a strong level of trust.  Without trust the group can never really develop into a deeper learning environment.  I also agree with you thoughts on body language.  I am a learner who really used people non-verbal to help me learn and understand, the lack of this in a on-line community can post a challenge. Thank you for sharing your ideas and including the great cloud",0,0,0,0,2,0,Week 02,0,Leader
R,A,"Hi, A, I like the word cloud in your post. I remember it is mentioned in Chapter one that a fair proportion of extrovert people would feel unnatural in online community. You probably are in this team. :) I also feel as a student with English as the second language, I feel more comfortable to communicate online.",0,0,0,0,1,0,Week 02,0,Leader
A,R,"Hi R,I think you bring up a great point that for people who speak English as a second language, it may feel more comfortable to communicate online. The same would be true of any individual trying to communicate in a foreign language. Does it make you feel more confident?That being said, although I know we are focusing on online communities, I would still encourage you to be as active in communicating in English face-to-face, too. I think most native English speakers are more than willing to help you practice and will not judge you for any errors.",0,0,0,1,1,0,Week 02,0,Influencer
C,A,Great word cloud; I think it sums up a community really well,0,0,0,1,0,0,Week 02,0,Starter
D,A,"Great job, A! I really like your word cloud. It well defines the word ""community"", emphasizing the most important ones in larger font size, and it also inspires me something I never think of.",0,0,0,1,0,0,Week 02,0,Peripheral
R,ins,"After reading the first chapter of ""Building online learning communities"" and searching for some articles and Wikipedia information, I have had an initial conception of ""online learning community"". In my opinion, two kinds of actors- facilitator and learner are fundamental factors in online learning community. Various online activities performed by these two kinds of actors comprise a online social context. This constructivist context is called online learning community. More importantly, only this constructivist context can be considered as ""online learning community"". Communities which are used as a platform to deliver teaching materials by instructors are not ""online learning community"".In order to form a social constructivist context, facilitator should clarify course goals, objectives, expected outcomes, guidelines, collaborative assignments to learners. During the learning process, the learner who is open-minded sharing, self-motivated and self-disciplined are more likely to be a successful online learner. Online activities (performed by both learners and facilitator) include social presence, collaborative activities, interactions and communications, reflective and transformative learning, etc. Details of these concepts please watch my Prezi shown below.My Prezi: What's online learning community?I believe community is important in online learning spaces. Because I believe learning is a social process. Online community is the space people share their thoughts, ideas, reflections, skills, technologies and make communications and interactions with others. Only through this self-learning and collaborative learning process can people construct their knowledge system.Thanks guys. Could you please tell me whether you can watch the Prezi or not?",0,1,3,0,0,0,Week 02,1,Leader
B,R,"I have been a online learner for the past 3 years as I completed my parent ed license and my masters.  I feel that I have been able to be successful because I am self motivated and have a lot of back ground knowledge about the subject.  I also have the computer access and the ability to learn and understand in the area.  Learning in an online community is not easy, and demands that the learner and instructor work together.",0,0,0,0,1,0,Week 02,0,Leader
E,R,"R,I was able to get the Prezi up. What I particularly appreciated about it was the notion of the online community as active members constructing knowledge through discourse. I also liked that you included reflection. I think reflection might be one of the trickiest things to include in an online community. Because the nature of the community may be asynchronous, members maybe feel like they have come late to the party and not be able to slow down to reflect. Thanks for taking the time to put together this visual",0,0,0,0,1,0,Week 02,0,Influencer
R,E,"Thank you for your reply, E. Yes, in my learning process, I always have this journey: think and try something by myself-- communicate or collaborate with others--try something new learned through discourses with others--communicate and so on so forth.. :)",0,0,0,0,0,1,Week 02,0,Leader
